size,price
1810.8904159657686,94896.874210197
3827.5000724347065,176424.63609844196
3061.9787963399176,157686.978643771
2595.304694689628,30386.789004436752
1046.0652415485279,41319.6676855508
1045.9808211767092,70154.66963442278
703.2926425886981,109059.33436651071
3531.616510212273,150667.31459693128
2603.902541101231,89770.44691040216
2978.2540222861594,123824.84893508114
572.0457300353086,74372.39238686913
3894.68448256698,211171.77961133324
3413.549242801476,144189.45195172186
1243.1868873739666,87822.71602436613
1136.387385224852,61673.24672864462
1141.9157844870183,105528.03875099537
1564.847850358382,43139.73782405148
2336.6475107128326,100449.26820575322
2011.8075652474051,80984.97060576238
1519.3019906931468,2789.3521280514105
2641.485131528328,146880.2704296452
988.2285122821464,62464.189223101785
1522.5062698732636,76380.98632578623
1782.266451527921,77383.9659076387
2096.2449447596255,34043.710135460555
3248.1158648755477,141373.52710550942
1198.8582375542592,42807.18605137449
2299.8205344476405,74877.16326130109
2573.4509910171487,120608.26396755698
662.576444519992,53331.365066726525
2626.406981655034,225629.6441432782
1096.8344329055203,63570.61228686797
727.6805754484783,49261.54830856214
3821.0993803866663,187332.67323102494
3879.7121157609577,98047.04502309582
3329.390718407614,165143.84214791984
1566.1481921067973,81318.92010239119
841.8523990223435,165254.72557538148
2894.815592792549,135122.73140057133
2040.5337280886044,117104.05352111085
927.1338219567259,44621.10261257413
2233.1191853894456,53222.05738849568
620.3598239032644,88159.13192091425
3682.621407275737,221727.72199812555
1405.7299356000592,109838.0941321553
2818.827995238937,95472.02702220989
1590.9887663129384,149689.1538624519
2320.238074122338,45919.35056650285
2413.485977701479,150017.15357508746
1146.9905943393446,166872.31100746617
3893.546197175955,145150.49360226333
3212.964881763901,132333.35760805642
3788.246295474662,194394.88302811515
3631.8957264967707,156421.00361902858
2592.649925838798,52099.324738633266
3726.559822580909,189756.13986934684
809.7237571817182,-12628.99782721934
1185.940018467008,82976.62245510948
658.2955111868832,-13056.436152345996
1638.6561576714253,159429.52813444822
1860.370513913187,53855.8610788475
1449.7216112086357,56383.00475014801
3400.581282031753,210704.92497007112
1748.6366434275624,25888.616349680357
1483.2707839058326,85536.5359254981
2399.4362910538694,185328.9522668149
993.2347874116692,-30712.42235747791
3307.689432639139,174616.16455857217
760.9272528791978,51040.50235638107
3954.1042781018105,236796.35749395605
3202.856692538301,98295.29908301096
1195.5048853696035,-6247.586385733644
519.3274099326084,52063.4487774753
3354.1149995919195,182554.98364125527
2974.00070346666,161224.67769062685
3051.5250881434554,169898.66488202155
3199.44621340081,125971.07459111595
759.1562810693163,49570.49891151599
1754.6300499049541,102385.12616018177
905.541708337954,9559.514515579314
3520.8619905645774,269331.8250854667
2681.5434438964526,157768.81824041202
1658.1430869842723,23341.979489081183
722.4542260010827,68950.39173174562
1588.4381260048176,30687.822788874808
1638.1416270936147,121261.31154180333
3053.6216241832244,210610.86015953144
2731.451149743246,95538.44156957677
3605.2445990171427,228431.03641307325
2152.7522380668224,128276.65825016605
918.5798607840559,87032.0010389273
2996.3567552804825,244657.48689672147
3162.747670159141,145867.97770781352
2464.4701914932366,85536.70135678735
3198.3851298409636,115443.53501077202
2228.284587275368,70623.71511549648
2329.564902836979,112623.15967114375
1996.3935642549236,116877.27695357837
588.9669436043332,43282.887146717614
877.6199944765656,85240.16217562946
